Month,Total_Sales,Profit,Units_Sold,Sales_Growth_%
2025-02,10515000.0,4206000.0,585,
2025-03,30699000.0,12279600.0,1787,191.95435092724676
2025-04,30670000.0,12268000.0,1661,-0.09446561777256557
2025-05,25816000.0,10326400.0,1482,-15.826540593413762
2025-06,26739000.0,10695600.0,1615,3.575302138208869
2025-07,34227000.0,13690800.0,1889,28.0040390440929
2025-08,29694000.0,11877600.0,1827,-13.243930230519762
2025-09,27605000.0,11042000.0,1409,-7.035091264228466
2025-10,24768000.0,9907200.0,1848,-10.277123709472924
2025-11,25812000.0,10324800.0,1550,4.215116279069764
2025-12,33692000.0,13476800.0,1721,30.52843638617697
2026-01,27188000.0,10875200.0,1587,-19.30428588388935
2026-02,23850000.0,9540000.0,1156,-12.277475356775048
