Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Total_Sales,Cost,Profit,Month,Quarter,Year
2025-02-21 00:02:46.093452,Laptop,West,Sales_Person_7,13,50000.0,650000.0,390000.0,260000.0,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Mosue,East,Sales_Person_1,7,,,,,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Laptop,East,Sales_Person_10,17,50000.0,850000.0,510000.0,340000.0,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Headphone,Central,Sales_Person_8,6,,,,,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Monitor,Central,Sales_Person_1,6,15000.0,90000.0,54000.0,36000.0,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Mosue,Central,Sales_Person_10,16,,,,,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Mosue,North,Sales_Person_10,2,,,,,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Mosue,East,Sales_Person_5,12,,,,,2025-02,2025Q1,2025
2025-02-21 00:02:46.093452,Headphone,Central,Sales_Person_4,2,,,,,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Headphone,North,Sales_Person_4,7,,,,,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Headphone,North,Sales_Person_1,10,,,,,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Laptop,South,Sales_Person_7,3,50000.0,150000.0,90000.0,60000.0,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Monitor,South,Sales_Person_8,3,15000.0,45000.0,27000.0,18000.0,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Monitor,Central,Sales_Person_9,18,15000.0,270000.0,162000.0,108000.0,2025-02,2025Q1,2025
2025-02-22 00:02:46.093452,Keyboard,South,Sales_Person_1,10,2000.0,20000.0,12000.0,8000.0,2025-02,2025Q1,2025
2025-02-23 00:02:46.093452,Mosue,Central,Sales_Person_6,17,,,,,2025-02,2025Q1,2025
2025-02-23 00:02:46.093452,Laptop,Central,Sales_Person_8,15,50000.0,750000.0,450000.0,300000.0,2025-02,2025Q1,2025
2025-02-23 00:02:46.093452,Laptop,North,Sales_Person_10,6,50000.0,300000.0,180000.0,120000.0,2025-02,2025Q1,2025
2025-02-23 00:02:46.093452,Desktop,East,Sales_Person_2,11,40000.0,440000.0,264000.0,176000.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Laptop,Central,Sales_Person_3,9,50000.0,450000.0,270000.0,180000.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Keyboard,East,Sales_Person_4,1,2000.0,2000.0,1200.0,800.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Headphone,West,Sales_Person_3,7,,,,,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Monitor,North,Sales_Person_10,19,15000.0,285000.0,171000.0,114000.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Laptop,West,Sales_Person_9,17,50000.0,850000.0,510000.0,340000.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Mosue,Central,Sales_Person_1,1,,,,,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Laptop,Central,Sales_Person_1,11,50000.0,550000.0,330000.0,220000.0,2025-02,2025Q1,2025
2025-02-24 00:02:46.093452,Desktop,South,Sales_Person_1,18,40000.0,720000.0,432000.0,288000.0,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Mosue,West,Sales_Person_7,12,,,,,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Keyboard,Central,Sales_Person_2,10,2000.0,20000.0,12000.0,8000.0,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Laptop,West,Sales_Person_6,15,50000.0,750000.0,450000.0,300000.0,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Mosue,North,Sales_Person_2,19,,,,,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Mosue,South,Sales_Person_6,8,,,,,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Monitor,Central,Sales_Person_3,18,15000.0,270000.0,162000.0,108000.0,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Laptop,West,Sales_Person_1,9,50000.0,450000.0,270000.0,180000.0,2025-02,2025Q1,2025
2025-02-25 00:02:46.093452,Mosue,South,Sales_Person_2,16,,,,,2025-02,2025Q1,2025
2025-02-26 00:02:46.093452,Mosue,Central,Sales_Person_1,13,,,,,2025-02,2025Q1,2025
2025-02-26 00:02:46.093452,Mosue,Central,Sales_Person_3,7,,,,,2025-02,2025Q1,2025
2025-02-26 00:02:46.093452,Desktop,Central,Sales_Person_8,11,40000.0,440000.0,264000.0,176000.0,2025-02,2025Q1,2025
2025-02-26 00:02:46.093452,Mosue,South,Sales_Person_4,18,,,,,2025-02,2025Q1,2025
2025-02-27 00:02:46.093452,Laptop,North,Sales_Person_4,12,50000.0,600000.0,360000.0,240000.0,2025-02,2025Q1,2025
2025-02-27 00:02:46.093452,Mosue,East,Sales_Person_7,9,,,,,2025-02,2025Q1,2025
