Salesperson,Total_Sales,Profit,Transactions,Avg_Transaction_Value
Sales_Person_10,46032000.0,18412800.0,230,200139.0
Sales_Person_7,35711000.0,14284400.0,226,158013.0
Sales_Person_1,35416000.0,14166400.0,193,183503.0
Sales_Person_2,35309000.0,14123600.0,219,161228.0
Sales_Person_8,34956000.0,13982400.0,177,197492.0
Sales_Person_5,34868000.0,13947200.0,192,181604.0
Sales_Person_4,33862000.0,13544800.0,185,183038.0
Sales_Person_3,33048000.0,13219200.0,189,174857.0
Sales_Person_9,32577000.0,13030800.0,191,170560.0
Sales_Person_6,29496000.0,11798400.0,198,148970.0
