Age,Years_At_Company,Salary,Projects_Completed,Satisfaction_Score,Performance_Rating,Work_Hours_Per_Week,Promotions,Department,Remote_Work,Attrition
50,16,96273,28,4.446763615149381,2.6785095312272413,50,0,HR,0,0
36,12,44895,4,2.096286357368764,1.2024898890762965,54,1,Operations,1,0
29,15,116559,9,4.228283615466812,1.1575673347712776,50,4,Operations,1,0
42,7,50699,27,1.7809624118259682,3.2957994642760418,41,4,IT,1,1
40,18,105061,4,2.3813678089795514,2.571580435572716,48,3,Sales,0,0
44,17,49715,2,2.342441817079371,1.114609710310618,60,0,Sales,0,1
32,0,59169,22,4.914101873556563,3.333009569250227,60,2,Finance,1,0
32,13,56163,5,4.426148894991707,1.0452101463560899,48,0,Operations,0,1
45,18,45782,3,3.804679446361039,4.149487832597092,41,2,HR,1,1
57,14,75585,17,3.9082270464615605,2.2257312908134863,67,1,HR,0,0
45,17,70682,27,3.2482911776102843,1.1610320120369284,60,1,Finance,0,1
24,1,87864,8,4.788362668434076,3.3534088839326133,54,4,Sales,1,1
43,16,95114,16,2.985035011529446,2.5907376577322188,37,1,HR,0,0
23,17,78067,28,2.522070839479578,4.8952016534285985,38,4,Sales,0,0
45,5,82685,12,1.652141347726364,3.1767946500148088,60,0,Finance,0,1
51,18,58073,26,4.1448226090442315,2.100956724148033,45,1,Sales,0,1
59,3,76035,14,3.9377757283023658,3.837755458535899,36,0,Sales,0,0
23,0,104977,29,2.5374201540965395,2.0859680101708453,48,0,Sales,1,0
42,7,105450,19,1.1007736558369174,4.61697316563026,64,1,HR,0,0
54,6,50382,16,4.355989310872043,2.4988878820295057,46,0,IT,1,0
33,2,44437,12,1.0456719338162945,3.199474251104821,60,1,Operations,0,1
43,9,110971,15,3.814799118516204,1.2022924152969154,67,1,Sales,0,0
46,9,104612,21,4.881028438904228,2.704484951808923,47,1,Sales,1,0
48,18,101929,3,2.750645312592814,4.32945415864398,48,2,Sales,1,0
49,13,52329,4,1.939893619983811,4.222595221453368,58,0,IT,0,1
37,1,65169,4,3.819484040173527,1.897274235414105,68,3,Finance,0,1
36,0,74594,8,4.268512568062341,1.9043162840422507,60,1,HR,1,0
24,17,116957,16,3.1857212643113892,4.269221248852947,55,0,IT,1,1
58,6,100631,12,4.868141101024585,4.721593680677302,62,4,Sales,1,0
28,7,85033,1,1.2066748866318444,1.3814436850920142,36,1,IT,1,0
42,0,103133,12,3.0191823932181125,2.800234557704901,43,1,IT,0,0
30,2,113165,21,3.8738157892902003,2.349817115856916,57,3,IT,0,0
39,7,113861,20,4.450561884596716,4.482753821829757,49,2,Finance,0,0
25,14,92290,26,1.7170224476311602,1.334099658720075,47,2,Operations,0,0
46,4,71750,22,4.200013927054726,1.8445037702321496,57,1,HR,0,0
35,2,80461,18,3.210828302874181,4.009873350345977,51,0,Finance,1,0
30,18,113800,2,2.586214727959853,1.2051753959248623,36,4,Finance,1,0
47,0,118222,9,1.5268601143163743,2.970141522857157,54,4,Operations,1,0
23,14,64226,1,4.461183035635649,2.76842813871888,54,0,Finance,0,0
41,7,46721,12,1.6290928327188614,2.3376047159549946,37,1,IT,1,1
49,1,96154,18,2.239151436836397,2.578289261275695,46,4,IT,0,0
28,2,60609,25,2.1601821278497475,3.1197623477209317,36,2,Sales,0,1
29,13,92130,16,4.485656136763417,1.6454694335535325,48,0,Finance,0,0
56,13,112909,20,3.690811976835592,3.287983513134371,50,3,Sales,1,1
35,10,95249,13,4.186725588765489,4.221729317199945,53,1,HR,0,0
38,15,88895,11,2.001871595169996,4.040643719160636,68,0,IT,0,1
57,3,45656,20,3.4994963984279956,1.6155996187750947,40,4,HR,1,0
25,19,114520,11,3.2869839325749948,1.5969978789658956,47,1,Operations,0,1
23,4,103740,10,4.331321507153085,2.0726974709796533,56,2,IT,1,0
