Size_sqft,Bedrooms,Age_years,Distance_to_city_km,Price
1360,2,8,15.57647570005057,124049.60468788275
1794,1,5,17.730212654164415,182889.84415055864
1630,5,15,15.283013120747054,165022.56547025745
1595,3,28,6.66204664614329,144512.0367882459
2138,4,2,21.951111342583655,197899.46391261774
2669,3,19,9.142398510784819,262206.416441751
966,3,35,1.7051630265121613,72445.22125791134
1738,1,18,19.718696581307867,137079.37500275773
830,3,25,6.136209702804419,94794.4668157864
1982,5,2,28.273298946234515,207159.33912527785
2635,3,18,28.663928733075032,239551.9498015279
630,1,19,27.531067316393006,26312.284971061526
2185,5,31,11.734602307407888,216850.48671566055
1269,2,6,1.4482418793371554,155931.72740516608
2891,3,40,27.921238315044036,260228.5167726612
2015,1,32,13.417340301202115,186180.04144839605
2933,2,39,29.032989752266417,252742.43498941808
1715,2,38,28.944979335588332,134163.98673558325
1455,4,17,25.73727420855344,137734.352759317
2824,5,39,9.539017870017984,279621.9304082223
1684,3,0,12.167834129455832,152258.3960456576
959,1,10,25.68296347398885,83022.4441427858
521,4,27,10.190738149532052,42257.925072754646
2800,5,24,5.915289653896682,308197.8867622658
1247,4,49,17.147236611292154,109921.24851636754
974,5,22,28.148488450662647,83961.23570573481
1582,5,30,21.184864103574217,151408.40729746013
2547,3,29,17.531773932591584,236583.2471817733
1475,5,41,3.8181183193522874,143317.5540201241
2306,4,34,18.835209574275922,216840.77303858128
689,5,6,29.711561653023637,70038.34301884302
1062,3,15,5.062436441859197,103992.26607169112
2399,3,25,16.031559918548368,220146.06843238886
1767,4,47,26.443819085910707,143201.2945049257
2028,2,48,22.482289914871927,175837.82102359502
1146,2,1,21.21345648886277,117412.04598576092
2568,5,0,21.37203843562617,264048.10068379855
2714,1,47,11.4252433853729,247287.89795498436
1797,5,11,9.514163483670307,183388.82794367857
2935,4,4,24.471473508876894,295796.0729906464
1100,4,36,24.49328844569624,93024.08165895451
2863,4,31,26.145097238823006,257553.62318190213
2561,4,8,27.483976024137668,226739.3078565445
741,4,40,15.828929566967195,46065.369390214255
2541,3,34,15.543972545928789,229864.00017225908
1863,2,18,24.15056019003648,174768.81298743127
2639,4,47,19.848953992555188,256079.6437658381
1890,1,15,21.357039440473397,160747.78180478382
1978,1,2,24.07798741364693,173642.8590586401
1275,1,19,26.81015491270942,98806.07564701524
534,1,23,10.801859548694539,36219.60554203771
2753,3,32,11.891905626558376,271717.43521318247
2455,1,23,3.725476255385201,230042.6428087437
2085,4,10,17.770124088889045,215221.30578892093
1521,5,48,2.0423259401055205,148665.42608119693
1629,1,7,14.502342525841344,158437.4045848372
2000,3,35,16.736694406519725,178052.90097059484
1202,3,37,9.309696311720248,101259.35685919596
2949,1,39,18.13416455650131,281389.0118418984
2079,5,19,1.8845072482324334,232167.76357723674
661,1,34,2.083097473727218,34096.45152492063
701,3,47,24.855416259130088,32276.848622970836
2481,2,24,11.445528600926623,246703.7006168591
1495,4,34,4.684754866904658,135848.64044096012
2817,3,24,16.145054541589325,276261.7287536418
1315,1,28,23.329813039859715,105840.7479948382
955,4,17,7.2588097974084524,92749.72442167238
1775,1,45,19.063823798751006,140848.00573879093
1516,1,17,3.475076484819272,123724.74602887794
2843,2,1,2.4987699138896233,309005.54525177757
837,4,34,16.40928431547629,67199.79059255449
1378,4,15,16.67841852669309,141659.7119870695
1576,2,40,19.48546714344799,134252.94627130625
1291,3,35,22.056648677957185,118122.1592030427
2764,1,32,29.299710304413505,231767.2556265609
1263,5,3,15.972710100734664,135865.51717454
2735,1,32,10.365737715296133,257725.35431084916
879,1,13,24.060399648292407,71065.01626601239
992,3,20,8.854135286600153,106889.40809748908
1680,1,47,13.730171200463447,130996.01149378336
2562,2,19,3.2752350589257127,246782.49050803005
564,2,7,1.735171559048268,74765.94210343344
1867,4,6,28.916804025659825,154412.43662461877
1652,5,2,25.243423494853968,179656.89931057277
2527,1,16,21.18325197671724,225493.5056025197
1995,1,32,12.859635388013826,175594.73632208322
1662,3,47,6.025535282054528,144851.03870674392
2022,2,11,5.5366742374614955,200681.37090718036
891,5,21,8.257044046773265,108054.33821303588
2198,4,21,16.927573276477496,220081.0577381629
918,2,45,21.72328175830181,62503.58307970225
2836,4,29,20.145723924814206,269843.00613650325
878,3,37,9.118083011432342,60725.817263846824
2296,3,37,28.691093139232628,188967.53772558997
2778,1,44,22.399010584177287,234968.97704951104
2588,5,7,17.07626752283062,267800.49702145776
2682,4,26,18.739901640796216,257156.62500439258
700,2,26,13.168401810405907,63666.64125317874
2363,3,33,8.184198695533567,231352.07518174208
1279,1,20,11.323207680886586,112120.29809849913
